Room,Building,Capacity,AV Equipment,Location,URL
ELL 060 – Classroom,Elliot Building,68,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-061-classroom.php
MAC D116 – Classroom,MacLaurin Building,59,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d116-classroom.php
CLE D285 – Classroom,Clearihue Building,14,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d285-classroom.php
DSB C124 – Classroom,David Strong Building,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c124-classroom.php
CLE D134 – Classroom,Clearihue Building,18,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, audio aux); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d134-classroom.php
HSD A270 – Classroom,Human and Social Development building,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Human and Social Development building,https://www.uvic.ca/search/rooms/pages/hsd-a270-classroom.php
MAC D115 – Classroom,MacLaurin Building,60,"1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; TV displays at each learning pod; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d115-classroom.php
CLE A308 – Classroom,Clearihue Building,12,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a308-classroom.php
COR A125 – Classroom,Cornett Building,65,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a125-classroom.php
COR A129 – Classroom,Cornett Building,61,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-a129-classroom.php
CLE A208 – Classroom,Clearihue Building,43,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a208-classroom.php
DSB C128 – Classroom,David Strong Building,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c128-classroom.php
COR B135 – Classroom,Cornett Building,80,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, audio aux); Wireless mic and room speakers",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b135-classroom.php
DTB A104 – Classroom,David Turpin Building,110,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a104-classroom.php
DTB A110 – Lecture theatre,David Turpin Building,140,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a110-lecture-theatre.php
CLE A312 – Classroom,Clearihue Building,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a312-classroom.php
CLE D132 – Classroom,Clearihue Building,24,this website stores cookies on your computer,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-d132-classroom.php
COR B112 – Classroom,Cornett Building,71,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b112-classroom.php
DTB A120 – Lecture theatre,David Turpin Building,250,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a120-lecture-theatre.php
MAC D016 – Classroom,MacLaurin Building,40,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d016-classroom.php
MAC D107 – Classroom,MacLaurin Building,15,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d107-classroom.php
ELL 162 – Classroom,Elliot Building,54,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-162-classroom.php
ELL 168 – Lecture theatre,Elliot Building,180,"2 document cameras on electric height-adjustable desks; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-168-lecture-theatre.php
MCK 155 – Classroom,McKinnon Building,38,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the McKinnon Building,https://www.uvic.ca/search/rooms/pages/mck-155-classroom.php
ECS 104 – Classroom,Engineering and Computer Science Building,60,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-104-classroom.php
DSB C103 – Lecture theatre,David Strong Building,186,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c103-lecture-theatre.php
BWC A104 – Lecture theatre,Bob Wright Centre,140,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Bob Wright Centre,https://www.uvic.ca/search/rooms/pages/bwc-a104-lecture-theatre.php
RSN 133 – Lecture theatre,S,234,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Enhanced lecture capture capability, which includes blackboard recording; Podium; Projectors present against wall; Room speakers; TV displays for people sitting in the front row; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the S,https://www.uvic.ca/search/rooms/pages/rsn-133-lecture-theatre.php
ELL 167 – Lecture theatre,Elliot Building,148,"2 document cameras on electric height-adjustable desks; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-167-lecture-theatre.php
HHB 116 – Classroom,Harry Hickman Building,40,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Harry Hickman Building,https://www.uvic.ca/search/rooms/pages/hhb-116-classroom.php
CLE C110 – Classroom,Clearihue Building,42,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c110-classroom.php
CLE C118 – Classroom,Clearihue Building,12,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c118-classroom.php
DSB C122 – Classroom,David Strong Building,64,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c122-classroom.php
MAC D010 – Classroom,MacLaurin Building,45,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d010-classroom.php
MCK 150 – Classroom,McKinnon Building,107,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the McKinnon Building,https://www.uvic.ca/search/rooms/pages/mck-150-classroom.php
CLE A225 – Classroom,Clearihue Building,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a225-classroom.php
BWC B150 – Flury Hall,Bob Wright Centre,358,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Bob Wright Centre,https://www.uvic.ca/search/rooms/pages/bwc-b150-flury-hall.php
COR B129 – Classroom,Cornett Building,67,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b129-classroom.php
ELL 160 – Classroom,Elliot Building,48,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-160-classroom.php
MAC D288 – Classroom,MacLaurin Building,79,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d288-classroom.php
COR B108 – Classroom,Cornett Building,71,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Cornett Building,https://www.uvic.ca/search/rooms/pages/cor-b108-classroom.php
MAC A326 – Classroom,MacLaurin Building,16,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-a326-classroom.php
CLE C214 – Classroom,Clearihue Building,22,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c214-classroom.php
CLE A330 – Classroom,Clearihue Building,22,1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI and USB); Wireless mic,of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a330-classroom.php
DSB C126 – Classroom,David Strong Building,35,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c126-classroom.php
CLE A313 – Classroom,Clearihue Building,46,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a313-classroom.php
CLE C111 – Classroom,Clearihue Building,28,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c111-classroom.php
CLE A217– Classroom,Clearihue Building,31,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a217-classroom.php
MAC D203 – Classroom,MacLaurin Building,34,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin Building,https://www.uvic.ca/search/rooms/pages/mac-d203-classroom.php
HHB 105 – Lecture theatre,Harry Hickman Building,215,"2 document cameras; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Harry Hickman Building,https://www.uvic.ca/search/rooms/pages/hhb-105-lecture-theatre.php
CLE B415 – Classroom,Clearihue Building,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-b415-classroom.php
DTB A102 – Classroom,David Turpin Building,110,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Turpin Building,https://www.uvic.ca/search/rooms/pages/dtb-a102-classroom.php
ELL 161 – Classroom,Elliot Building,24,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Elliot Building,https://www.uvic.ca/search/rooms/pages/ell-161-classroom.php
DSB C116 – Classroom,David Strong Building,64,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c116-classroom.php
ECS 130 – Classroom,Engineering and Computer Science Building,34,"1 document camera; 2 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Engineering and Computer Science Building,https://www.uvic.ca/search/rooms/pages/ecs-130-classroom.php
CLE A224 – Classroom,Clearihue Building,86,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a224-classroom.php
MAC A144 - David Lam Auditorium,MacLaurin building,317,"2 document camera; 3 digital video projectors; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Touch panel controls for AV system; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the MacLaurin building,https://www.uvic.ca/search/rooms/pages/mac-a144-david-lam-auditorium.php
CLE A329 – Classroom,Clearihue Building,30,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-a329-classroom.php
DSB C118 – Classroom,David Strong Building,74,"1 digital video projector; 1 document camera; A built-in classroom computer; Lecture capture capability; Podium; Projectors present against wall; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the David Strong Building,https://www.uvic.ca/search/rooms/pages/dsb-c118-classroom.php
CLE C316 – Classroom,Clearihue Building,20,"1 digital video projector; 1 document camera; A built-in classroom computer with webcam; Lecture capture capability; Podium; Room speakers; Video and audio laptop connectors (HDMI, VGA, 3.5mm audio); Wireless mic",of the Clearihue Building,https://www.uvic.ca/search/rooms/pages/cle-c316-classroom.php
